candidate_id,final_score
CAND_0000031,0.6315090343402102
CAND_0000014,0.40138115262261637
CAND_0000009,0.353846756166209
CAND_0000018,0.3447914808046272
CAND_0000015,0.32409270406476764
CAND_0000017,0.3218841979452254
CAND_0000043,0.3150810547882513
CAND_0000016,0.3064168927809783
CAND_0000021,0.3027528725267077
CAND_0000045,0.29605867642155687
CAND_0000011,0.29339525460318205
CAND_0000002,0.29249193023979914
CAND_0000019,0.2899966360466366
CAND_0000048,0.28824682140356656
CAND_0000030,0.2870987360284181
CAND_0000026,0.2839730341740716
CAND_0000029,0.2788665554417925
CAND_0000050,0.2709394161398567
CAND_0000010,0.2702906515904462
CAND_0000023,0.2656912379198586
CAND_0000025,0.26512146157392874
CAND_0000033,0.26471828273446474
CAND_0000037,0.2640057890286915
CAND_0000004,0.25309090010011004
CAND_0000001,0.2519980935503926
CAND_0000049,0.24953522857271665
CAND_0000032,0.24864210524973046
CAND_0000006,0.24781187691520584
CAND_0000039,0.24537429031652097
CAND_0000041,0.24353861865000742
CAND_0000044,0.24339692157387224
CAND_0000036,0.24242433795150536
CAND_0000027,0.238488148374195
CAND_0000034,0.23389334874088036
CAND_0000038,0.22614019562107826
CAND_0000024,0.22482842350135737
CAND_0000035,0.221849557065282
CAND_0000020,0.22024788459130346
CAND_0000022,0.22016633881501335
CAND_0000040,0.21808003855317382
CAND_0000046,0.21733339677974367
CAND_0000042,0.21570370190538052
CAND_0000012,0.21360501781632862
CAND_0000005,0.2129374546983925
CAND_0000028,0.1975517754207042
CAND_0000008,0.19711588480039324
CAND_0000007,0.1966130834967676
CAND_0000047,0.19407456979393417
CAND_0000003,0.1926448635941907
CAND_0000013,0.18134413214539014
